dataset,comparison,metric,mean_diff,std_diff,min_diff,max_diff,ci95_low,ci95_high,seeds
Elliptic,DLG-Aug vs DLG-Aug-Zero,roc_auc,0.0921495217017314,0.0240784190443961,0.0541470862298971,0.1198263758538857,0.0721233314349409,0.107406744913185,42..46
Elliptic,DLG-Aug vs DLG-Aug-Zero,pr_auc,0.0187082198926069,0.0044476057494015,0.0122768579055925,0.0247045914795375,0.0151121390977236,0.0222032057599554,42..46
Elliptic,DLG-Aug vs DLG-Aug-Zero,validation_f1,0.0249112941905474,0.0171096049584144,0.0041083660969926,0.0480896330616912,0.0128926962001076,0.037462738765921,42..46
Elliptic,DLG-Aug vs DLG-Aug-Permuted,roc_auc,0.0090057450868961,0.0218013971352663,-0.0133932282414143,0.0427664391872415,-0.0063671176636913,0.0262201349458004,42..46
Elliptic,DLG-Aug vs DLG-Aug-Permuted,pr_auc,-0.0044146131178864,0.0028794133181634,-0.0069844046984879,-0.0009823886929927,-0.0066201814102321,-0.0022450170542503,42..46
Elliptic,DLG-Aug vs DLG-Aug-Permuted,validation_f1,0.0129061511626258,0.0081820069515224,0.0019788779361078,0.0225495466766184,0.0065997661483805,0.0189421673926868,42..46
Elliptic,DLG-Base-70 vs DLG-Base,roc_auc,-0.0537196823904196,0.0104385642243294,-0.0693092889200984,-0.0432110182096345,-0.0620106092804223,-0.0462050347166847,42..46
Elliptic,DLG-Base-70 vs DLG-Base,pr_auc,-0.0048515141986519,0.0011112653915137,-0.0066971161607056,-0.0038509311654442,-0.0057927700926936,-0.0041409457811244,42..46
Elliptic,DLG-Base-70 vs DLG-Base,validation_f1,-0.0038903740148821,0.0014506292106503,-0.005624861346698,-0.0018568574030113,-0.0050137442201289,-0.0028301606479019,42..46
DGraphFin,DLG-Aug vs DLG-Aug-Zero,roc_auc,0.0875597329620502,0.0478592484850831,0.0387237279395772,0.1666646810431995,0.0578334818769169,0.1289024962020273,42..46
DGraphFin,DLG-Aug vs DLG-Aug-Zero,pr_auc,0.0029631003828858,0.0020279754713703,0.0011657248886721,0.0063223741504041,0.0016537030931212,0.0046702381900457,42..46
DGraphFin,DLG-Aug vs DLG-Aug-Zero,validation_f1,0.0043588892894925,0.0059457381001006,-0.0007545363594628,0.0145548308497884,0.0008627461955083,0.0096288965933129,42..46
DGraphFin,DLG-Aug vs DLG-Aug-Permuted,roc_auc,-0.0003186141679001,0.0346714051270638,-0.0424548747052959,0.0495897878767687,-0.0251528987704081,0.0277959946164481,42..46
DGraphFin,DLG-Aug vs DLG-Aug-Permuted,pr_auc,0.0002941404187679,0.0015738264606332,-0.000943223881059,0.0029831304718792,-0.0006741233548939,0.0016623495418039,42..46
DGraphFin,DLG-Aug vs DLG-Aug-Permuted,validation_f1,0.0021415972105421,0.0051137577148389,-0.0011107392907082,0.0111927182157873,-0.0005529354339149,0.0066895034595455,42..46
DGraphFin,DLG-Base-70 vs DLG-Base,roc_auc,-0.0116700498532497,0.0073868268293787,-0.0208831983388864,-0.0003454653237618,-0.0173629607871372,-0.0054655742582706,42..46
DGraphFin,DLG-Base-70 vs DLG-Base,pr_auc,-0.0001973102309459,0.0001825277411398,-0.0004520526363077,5.274466793823637e-05,-0.00034014087402,-5.836617081549263e-05,42..46
DGraphFin,DLG-Base-70 vs DLG-Base,validation_f1,-1.612517338569833e-05,7.856690787466942e-06,-2.689637847485063e-05,-7.79191690073594e-06,-2.1921849797158517e-05,-1.0261287211554145e-05,42..46
LANL-RedTeam,DLG-Aug vs DLG-Aug-Zero,roc_auc,-0.0641447423632296,0.089230015200028,-0.1733118360789098,0.0322654885092535,-0.133146044295302,0.0027638593858043,42..46
LANL-RedTeam,DLG-Aug vs DLG-Aug-Zero,pr_auc,0.0092439214435378,0.0228411482924514,-0.0263759747383513,0.0265246521655531,-0.010691345401058,0.0252385024972582,42..46
LANL-RedTeam,DLG-Aug vs DLG-Aug-Zero,validation_f1,0.0437270122357175,0.0419695022026855,0.0084210526315789,0.1035463333333333,0.0125577543859649,0.0780817900134952,42..46
LANL-RedTeam,DLG-Aug vs DLG-Aug-Permuted,roc_auc,-0.021762192027659,0.1088526921528963,-0.13145168395363,0.1188985981289404,-0.1067691884889159,0.0632448044335977,42..46
LANL-RedTeam,DLG-Aug vs DLG-Aug-Permuted,pr_auc,0.0298832346938021,0.0406460357182251,-0.0109968182757765,0.0930375340037167,0.0013141669265711,0.0615470308832258,42..46
LANL-RedTeam,DLG-Aug vs DLG-Aug-Permuted,validation_f1,0.0612610032655692,0.0378192686708013,0.0074532857142857,0.1012474827586207,0.0316821311119189,0.0879586493385198,42..46
LANL-RedTeam,DLG-Base-70 vs DLG-Base,roc_auc,-0.0132669855603009,0.0806872051595602,-0.1204540585723001,0.0788492393736018,-0.0737712736221272,0.0472373025015253,42..46
LANL-RedTeam,DLG-Base-70 vs DLG-Base,pr_auc,-0.0324432447805691,0.0204099749073351,-0.0552067981951219,-0.0014538789205186,-0.0464507429099573,-0.0168560771707605,42..46
LANL-RedTeam,DLG-Base-70 vs DLG-Base,validation_f1,-0.0714837695325384,0.0443380284418627,-0.137342,-0.0178571428571428,-0.1066400350787569,-0.0409596853250623,42..46
