dataset,display_name,model,seed,status,python_class,control_base_class,source_git_commit,source_file_sha256,control_script_sha256,dataset_graph_sha256,x_sha256,edge_index_sha256,y_sha256,split_indices_sha256,config_sha256,backend_sha256,message_backend,reconstruction_backend,global_epochs,local_epochs,hidden_dim,num_layers,weight,threshold_protocol,roc_auc,pr_auc,validation_f1,oracle_best_f1,train_sec,infer_sec,runtime
Elliptic,Elliptic,DLG-Aug-Zero,42,success,gog_fraud.models.pygod.shared_reconstruction.SharedDLGAugZero,SharedDLGFull,git_commit_unavailable,e4a24dd31feffbcb5a944c0c95073f45bc76d80bea285b83d8cc3c40b8802507,958cedb869be3a917665c31157ef8c95a00a249e6895865872f1219cb3ceec55,6de320e718a7ca20bfd498c6a911c05d4c46225a3e2f3af7b342f7e52751d219,9c3a7dba1296d8bcbc45f268c7fc16691da22d692fdb4129fdf091a5c9db302d,54f0599018c63a8296b9ae6fe419be946451a6d5666f332d851b410b8b81d313,b79b799b109f9bc57be4c4ac000ddfc736d26c11af8e86130399a8e65d2d58e7,4e45fa2d88ff435a47ef2b9864d44e7856ac58d953b120a3b6de23aff5d6dcbd,681297f41928123d3d8bb61ceab356598d3ae8aaa31ccb088d4e1765adbbc8ed,9050ebabd7895f866d77b8283051312495957c24b9ffe995a1b4a5b7af33aa55,sparse_fused,exact_sparse,50,0,64,4,0.5,validation_selected_f1,0.4676051624477948,0.08334126316301108,0.19801980198019803,0.19807377793930583,2.8464566280000554,0.023287569999979496,2.869744198000035
Elliptic,Elliptic,DLG-Aug-Zero,43,success,gog_fraud.models.pygod.shared_reconstruction.SharedDLGAugZero,SharedDLGFull,git_commit_unavailable,e4a24dd31feffbcb5a944c0c95073f45bc76d80bea285b83d8cc3c40b8802507,958cedb869be3a917665c31157ef8c95a00a249e6895865872f1219cb3ceec55,6de320e718a7ca20bfd498c6a911c05d4c46225a3e2f3af7b342f7e52751d219,9c3a7dba1296d8bcbc45f268c7fc16691da22d692fdb4129fdf091a5c9db302d,54f0599018c63a8296b9ae6fe419be946451a6d5666f332d851b410b8b81d313,b79b799b109f9bc57be4c4ac000ddfc736d26c11af8e86130399a8e65d2d58e7,a7a6b38b6e89ea89271ad7751b11bc54e651c7adf4e4822dcb64adb6c3a7285f,681297f41928123d3d8bb61ceab356598d3ae8aaa31ccb088d4e1765adbbc8ed,9050ebabd7895f866d77b8283051312495957c24b9ffe995a1b4a5b7af33aa55,sparse_fused,exact_sparse,50,0,64,4,0.5,validation_selected_f1,0.49179178174712246,0.0872141749236854,0.20037444632174986,0.2005209523374309,1.5690234560000818,0.020519326999988152,1.58954278300007
Elliptic,Elliptic,DLG-Aug-Zero,44,success,gog_fraud.models.pygod.shared_reconstruction.SharedDLGAugZero,SharedDLGFull,git_commit_unavailable,e4a24dd31feffbcb5a944c0c95073f45bc76d80bea285b83d8cc3c40b8802507,958cedb869be3a917665c31157ef8c95a00a249e6895865872f1219cb3ceec55,6de320e718a7ca20bfd498c6a911c05d4c46225a3e2f3af7b342f7e52751d219,9c3a7dba1296d8bcbc45f268c7fc16691da22d692fdb4129fdf091a5c9db302d,54f0599018c63a8296b9ae6fe419be946451a6d5666f332d851b410b8b81d313,b79b799b109f9bc57be4c4ac000ddfc736d26c11af8e86130399a8e65d2d58e7,e70549c05df29d66bcdfd3573bf6bec7f245ff48e1eed5989f9805c03657e059,681297f41928123d3d8bb61ceab356598d3ae8aaa31ccb088d4e1765adbbc8ed,9050ebabd7895f866d77b8283051312495957c24b9ffe995a1b4a5b7af33aa55,sparse_fused,exact_sparse,50,0,64,4,0.5,validation_selected_f1,0.44184430117113915,0.07983313040913742,0.19275663206459054,0.19331165815141665,1.5553765769999472,0.020166652000057184,1.5755432290000044
Elliptic,Elliptic,DLG-Aug-Zero,45,success,gog_fraud.models.pygod.shared_reconstruction.SharedDLGAugZero,SharedDLGFull,git_commit_unavailable,e4a24dd31feffbcb5a944c0c95073f45bc76d80bea285b83d8cc3c40b8802507,958cedb869be3a917665c31157ef8c95a00a249e6895865872f1219cb3ceec55,6de320e718a7ca20bfd498c6a911c05d4c46225a3e2f3af7b342f7e52751d219,9c3a7dba1296d8bcbc45f268c7fc16691da22d692fdb4129fdf091a5c9db302d,54f0599018c63a8296b9ae6fe419be946451a6d5666f332d851b410b8b81d313,b79b799b109f9bc57be4c4ac000ddfc736d26c11af8e86130399a8e65d2d58e7,47ef521201e45af276188023100e64b7a3ebd270721d40c2e2f4e41a6493f8ae,681297f41928123d3d8bb61ceab356598d3ae8aaa31ccb088d4e1765adbbc8ed,9050ebabd7895f866d77b8283051312495957c24b9ffe995a1b4a5b7af33aa55,sparse_fused,exact_sparse,50,0,64,4,0.5,validation_selected_f1,0.4979149572354521,0.08812499521891928,0.1978384141908593,0.1996420212033595,1.550875777999977,0.020486810999955196,1.571362588999932
Elliptic,Elliptic,DLG-Aug-Zero,46,success,gog_fraud.models.pygod.shared_reconstruction.SharedDLGAugZero,SharedDLGFull,git_commit_unavailable,e4a24dd31feffbcb5a944c0c95073f45bc76d80bea285b83d8cc3c40b8802507,958cedb869be3a917665c31157ef8c95a00a249e6895865872f1219cb3ceec55,6de320e718a7ca20bfd498c6a911c05d4c46225a3e2f3af7b342f7e52751d219,9c3a7dba1296d8bcbc45f268c7fc16691da22d692fdb4129fdf091a5c9db302d,54f0599018c63a8296b9ae6fe419be946451a6d5666f332d851b410b8b81d313,b79b799b109f9bc57be4c4ac000ddfc736d26c11af8e86130399a8e65d2d58e7,93af5bce3a2f22501b66f31e00d99b14467e64a16069a2b06034dd4ec23d717f,681297f41928123d3d8bb61ceab356598d3ae8aaa31ccb088d4e1765adbbc8ed,9050ebabd7895f866d77b8283051312495957c24b9ffe995a1b4a5b7af33aa55,sparse_fused,exact_sparse,50,0,64,4,0.5,validation_selected_f1,0.4927466612521895,0.08621252779118874,0.20613496932515338,0.20790502388880847,1.538844766000011,0.019653277999964303,1.5584980439999754
Elliptic,Elliptic,DLG-Base-70,42,success,gog_fraud.models.pygod.shared_reconstruction.SharedDLGBase,SharedDLGBase,git_commit_unavailable,e4a24dd31feffbcb5a944c0c95073f45bc76d80bea285b83d8cc3c40b8802507,958cedb869be3a917665c31157ef8c95a00a249e6895865872f1219cb3ceec55,6de320e718a7ca20bfd498c6a911c05d4c46225a3e2f3af7b342f7e52751d219,9c3a7dba1296d8bcbc45f268c7fc16691da22d692fdb4129fdf091a5c9db302d,54f0599018c63a8296b9ae6fe419be946451a6d5666f332d851b410b8b81d313,b79b799b109f9bc57be4c4ac000ddfc736d26c11af8e86130399a8e65d2d58e7,4e45fa2d88ff435a47ef2b9864d44e7856ac58d953b120a3b6de23aff5d6dcbd,32d526488c128b33632293a186a069332eafd288d34cbdb75381b5ad27242438,9050ebabd7895f866d77b8283051312495957c24b9ffe995a1b4a5b7af33aa55,sparse_fused,exact_sparse,70,0,64,4,0.5,validation_selected_f1,0.31158097292704345,0.06517879611268879,0.17837709959782352,0.1785306283238133,2.2191777040000034,0.01925482399997236,2.2384325279999757
Elliptic,Elliptic,DLG-Base-70,43,success,gog_fraud.models.pygod.shared_reconstruction.SharedDLGBase,SharedDLGBase,git_commit_unavailable,e4a24dd31feffbcb5a944c0c95073f45bc76d80bea285b83d8cc3c40b8802507,958cedb869be3a917665c31157ef8c95a00a249e6895865872f1219cb3ceec55,6de320e718a7ca20bfd498c6a911c05d4c46225a3e2f3af7b342f7e52751d219,9c3a7dba1296d8bcbc45f268c7fc16691da22d692fdb4129fdf091a5c9db302d,54f0599018c63a8296b9ae6fe419be946451a6d5666f332d851b410b8b81d313,b79b799b109f9bc57be4c4ac000ddfc736d26c11af8e86130399a8e65d2d58e7,a7a6b38b6e89ea89271ad7751b11bc54e651c7adf4e4822dcb64adb6c3a7285f,32d526488c128b33632293a186a069332eafd288d34cbdb75381b5ad27242438,9050ebabd7895f866d77b8283051312495957c24b9ffe995a1b4a5b7af33aa55,sparse_fused,exact_sparse,70,0,64,4,0.5,validation_selected_f1,0.26155463989314276,0.06100593150294524,0.17781951944900995,0.1781376518218623,2.224373139999898,0.01842146700005287,2.2427946069999507
Elliptic,Elliptic,DLG-Base-70,44,success,gog_fraud.models.pygod.shared_reconstruction.SharedDLGBase,SharedDLGBase,git_commit_unavailable,e4a24dd31feffbcb5a944c0c95073f45bc76d80bea285b83d8cc3c40b8802507,958cedb869be3a917665c31157ef8c95a00a249e6895865872f1219cb3ceec55,6de320e718a7ca20bfd498c6a911c05d4c46225a3e2f3af7b342f7e52751d219,9c3a7dba1296d8bcbc45f268c7fc16691da22d692fdb4129fdf091a5c9db302d,54f0599018c63a8296b9ae6fe419be946451a6d5666f332d851b410b8b81d313,b79b799b109f9bc57be4c4ac000ddfc736d26c11af8e86130399a8e65d2d58e7,e70549c05df29d66bcdfd3573bf6bec7f245ff48e1eed5989f9805c03657e059,32d526488c128b33632293a186a069332eafd288d34cbdb75381b5ad27242438,9050ebabd7895f866d77b8283051312495957c24b9ffe995a1b4a5b7af33aa55,sparse_fused,exact_sparse,70,0,64,4,0.5,validation_selected_f1,0.3198250770089361,0.06574347440399175,0.17812745869394178,0.17818353533763578,2.212528597000073,0.02127542400000948,2.2338040210000827
Elliptic,Elliptic,DLG-Base-70,45,success,gog_fraud.models.pygod.shared_reconstruction.SharedDLGBase,SharedDLGBase,git_commit_unavailable,e4a24dd31feffbcb5a944c0c95073f45bc76d80bea285b83d8cc3c40b8802507,958cedb869be3a917665c31157ef8c95a00a249e6895865872f1219cb3ceec55,6de320e718a7ca20bfd498c6a911c05d4c46225a3e2f3af7b342f7e52751d219,9c3a7dba1296d8bcbc45f268c7fc16691da22d692fdb4129fdf091a5c9db302d,54f0599018c63a8296b9ae6fe419be946451a6d5666f332d851b410b8b81d313,b79b799b109f9bc57be4c4ac000ddfc736d26c11af8e86130399a8e65d2d58e7,47ef521201e45af276188023100e64b7a3ebd270721d40c2e2f4e41a6493f8ae,32d526488c128b33632293a186a069332eafd288d34cbdb75381b5ad27242438,9050ebabd7895f866d77b8283051312495957c24b9ffe995a1b4a5b7af33aa55,sparse_fused,exact_sparse,70,0,64,4,0.5,validation_selected_f1,0.2990423290192373,0.06397583964713177,0.177732379979571,0.17793287327478044,2.184100791999981,0.019483085999922878,2.203583877999904
Elliptic,Elliptic,DLG-Base-70,46,success,gog_fraud.models.pygod.shared_reconstruction.SharedDLGBase,SharedDLGBase,git_commit_unavailable,e4a24dd31feffbcb5a944c0c95073f45bc76d80bea285b83d8cc3c40b8802507,958cedb869be3a917665c31157ef8c95a00a249e6895865872f1219cb3ceec55,6de320e718a7ca20bfd498c6a911c05d4c46225a3e2f3af7b342f7e52751d219,9c3a7dba1296d8bcbc45f268c7fc16691da22d692fdb4129fdf091a5c9db302d,54f0599018c63a8296b9ae6fe419be946451a6d5666f332d851b410b8b81d313,b79b799b109f9bc57be4c4ac000ddfc736d26c11af8e86130399a8e65d2d58e7,93af5bce3a2f22501b66f31e00d99b14467e64a16069a2b06034dd4ec23d717f,32d526488c128b33632293a186a069332eafd288d34cbdb75381b5ad27242438,9050ebabd7895f866d77b8283051312495957c24b9ffe995a1b4a5b7af33aa55,sparse_fused,exact_sparse,70,0,64,4,0.5,validation_selected_f1,0.2891951466466606,0.06311091145000082,0.17721618642733428,0.1781999450484751,2.169652893000034,0.020137159000000793,2.189790052000035
