dataset,model,category,epochs,n_seeds,roc_mean,roc_std,pr_mean,pr_std,f1_mean,f1_std
Elliptic,DLG-Base (Authoritative),Frozen primary reference,50,5,0.3499593154894237,0.024734282394191683,0.0686545048220036,0.002465643955495959,0.1817449028444182,0.0017474632940507385
Elliptic,DLG-Aug (Authoritative),Frozen primary reference,70,5,0.570530094472471,0.02543919848978831,0.10365343819379536,0.004801547992763811,0.2239361469670577,0.016389528411176156
Elliptic,DLG-Aug-Zero,M3 sensitivity control,50,5,0.4783805727707396,0.023552313107781244,0.08494521830118837,0.003375327148814307,0.19902485277651022,0.004849832847291487
Elliptic,DLG-Aug-Permuted,M3 sensitivity control,70,5,0.5615243493855748,0.04590002783853819,0.10806805131168185,0.007566416230034456,0.21102999580443185,0.01844547857453173
Elliptic,DLG-Base-70,M3 sensitivity control,70,5,0.296239633099004,0.022650378140536224,0.06380299062335168,0.0018702077516731858,0.17785452882953612,0.00043908938141181086
DGraphFin,DLG-Base (Authoritative),Frozen primary reference,50,5,0.4091737417154618,0.009582882498377627,0.010089006987997539,0.0002347832265295467,0.025007983830343507,8.901933765761715e-06
DGraphFin,DLG-Aug (Authoritative),Frozen primary reference,70,5,0.518548157486219,0.04072998206478264,0.01344244480974346,0.0018563214579821118,0.029561155350495638,0.005882894786130471
DGraphFin,DLG-Aug-Zero,M3 sensitivity control,50,5,0.43098842452416875,0.014758470514435683,0.010479344426857568,0.00027822944443436123,0.02520226606100307,0.0002195081548404483
DGraphFin,DLG-Aug-Permuted,M3 sensitivity control,70,5,0.5188667716541192,0.01265296709890625,0.013148304390975512,0.0005561590450284591,0.027419558139953514,0.0013620744968415807
DGraphFin,DLG-Base-70,M3 sensitivity control,70,5,0.397503691862212,0.006667023515211771,0.009891696757051541,0.00020213920630618248,0.024991858656957806,7.716054973123964e-06
LANL-RedTeam,DLG-Base (Authoritative),Frozen primary reference,50,5,0.7923039999999999,0.04516501881434348,0.13669199999999998,0.02350121688338712,0.21122520000000003,0.025381202664570484
LANL-RedTeam,DLG-Aug (Authoritative),Frozen primary reference,70,5,0.7187553999999999,0.10102433349594543,0.11144240000000001,0.047485285597751226,0.1683334,0.045826020133762434
LANL-RedTeam,DLG-Aug-Zero,M3 sensitivity control,50,5,0.7829001423632296,0.025785471263984564,0.10219847855646211,0.037659308416001215,0.1246063877642825,0.06255047383886836
LANL-RedTeam,DLG-Aug-Permuted,M3 sensitivity control,70,5,0.7405175920276591,0.04273592707012359,0.08155916530619783,0.016049581286146173,0.10707239673443081,0.02940509371988741
LANL-RedTeam,DLG-Base-70,M3 sensitivity control,70,5,0.7790370144396991,0.03713599701217515,0.10424875521943085,0.041030932280521834,0.13974143046746157,0.060301978254882045
