comparison,model_a,model_b,metric,test,statistic,p_value,n_datasets,effect_size_dz,adjusted_p,significant,correction,view_name
AnomalyDAE vs CONAD,AnomalyDAE,CONAD,roc_auc,wilcoxon,4.0,0.4375,5,-0.35702538934601213,1.0,False,holm,broad_complete_case
AnomalyDAE vs CoLA,AnomalyDAE,CoLA,roc_auc,wilcoxon,0.0,0.0625,5,1.4203898455301605,1.0,False,holm,broad_complete_case
AnomalyDAE vs DLG-Aug,AnomalyDAE,DLG-Aug,roc_auc,wilcoxon,4.0,0.4375,5,-0.36367778519157357,1.0,False,holm,broad_complete_case
AnomalyDAE vs DLG-Base,AnomalyDAE,DLG-Base,roc_auc,wilcoxon,4.0,0.4375,5,-0.36896595806132765,1.0,False,holm,broad_complete_case
AnomalyDAE vs DOMINANT,AnomalyDAE,DOMINANT,roc_auc,wilcoxon,4.0,0.4375,5,-0.3570175452607102,1.0,False,holm,broad_complete_case
AnomalyDAE vs GADNR,AnomalyDAE,GADNR,roc_auc,wilcoxon,0.0,0.0625,5,1.712088422683531,1.0,False,holm,broad_complete_case
AnomalyDAE vs OCGNN,AnomalyDAE,OCGNN,roc_auc,wilcoxon,0.0,0.0625,5,4.490049620012548,1.0,False,holm,broad_complete_case
CONAD vs CoLA,CONAD,CoLA,roc_auc,wilcoxon,0.0,0.0625,5,1.9686153598918414,1.0,False,holm,broad_complete_case
CONAD vs DLG-Aug,CONAD,DLG-Aug,roc_auc,wilcoxon,5.0,0.625,5,-0.13425830987294005,1.0,False,holm,broad_complete_case
CONAD vs DLG-Base,CONAD,DLG-Base,roc_auc,wilcoxon,6.0,0.8125,5,-0.1908977100192007,1.0,False,holm,broad_complete_case
CONAD vs DOMINANT,CONAD,DOMINANT,roc_auc,wilcoxon,0.0,1.0,5,0.432568161240368,1.0,False,holm,broad_complete_case
CONAD vs GADNR,CONAD,GADNR,roc_auc,wilcoxon,0.0,0.0625,5,1.6259777969745024,1.0,False,holm,broad_complete_case
CONAD vs OCGNN,CONAD,OCGNN,roc_auc,wilcoxon,0.0,0.0625,5,10.69442807643657,1.0,False,holm,broad_complete_case
CoLA vs DLG-Aug,CoLA,DLG-Aug,roc_auc,wilcoxon,0.0,0.0625,5,-1.9766488221804814,1.0,False,holm,broad_complete_case
CoLA vs DLG-Base,CoLA,DLG-Base,roc_auc,wilcoxon,0.0,0.0625,5,-1.9767994986621684,1.0,False,holm,broad_complete_case
CoLA vs DOMINANT,CoLA,DOMINANT,roc_auc,wilcoxon,0.0,0.0625,5,-1.9686148990171353,1.0,False,holm,broad_complete_case
CoLA vs GADNR,CoLA,GADNR,roc_auc,wilcoxon,2.0,0.1875,5,-0.755977323270244,1.0,False,holm,broad_complete_case
CoLA vs OCGNN,CoLA,OCGNN,roc_auc,wilcoxon,1.0,0.125,5,0.8757811080816241,1.0,False,holm,broad_complete_case
DLG-Aug vs DLG-Base,DLG-Aug,DLG-Base,roc_auc,wilcoxon,5.0,0.625,5,-0.3328204773350298,1.0,False,holm,broad_complete_case
DLG-Aug vs DOMINANT,DLG-Aug,DOMINANT,roc_auc,wilcoxon,5.0,0.625,5,0.13474680371027425,1.0,False,holm,broad_complete_case
DLG-Aug vs GADNR,DLG-Aug,GADNR,roc_auc,wilcoxon,0.0,0.0625,5,1.6398079218982202,1.0,False,holm,broad_complete_case
